Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
s053,u,411.31782875935835,1402.35433679338,3041.552614069506,399.7985733773696,1227.1392019713714,2828.7176905551532,406.1383341161626,1561.3889380219541,3077.9832335432584,Female,DIMEx100,1.341,1.387,textgrids/dime/s05349.TextGrid,0.04600000000000004,1.082,1.757,vinculación,False,False,k,l
s053,a,536.6609145549847,1739.1952894833096,2878.2575129365873,543.6274847398796,1799.5255609104322,2948.343382375029,417.0944998160598,1737.5401856760634,2906.537205941466,Female,DIMEx100,1.42,1.505,textgrids/dime/s05349.TextGrid,0.08499999999999996,1.082,1.757,vinculación,False,False,l,s
s053,i,296.5502198745291,2250.6247386450264,2400.462619498109,485.0440733270916,2335.746050662821,2947.6067299057286,324.7297280117248,2009.9258672776039,2895.1056243640332,Female,DIMEx100,1.606,1.653,textgrids/dime/s05349.TextGrid,0.04699999999999993,1.082,1.757,vinculación,False,False,s,o
s053,o,383.70694734446823,1755.662229172071,3112.5967321578573,372.6393515026972,1805.799590457232,3035.219885151067,366.2151108361591,1756.127350439729,3158.397757039343,Female,DIMEx100,1.653,1.689,textgrids/dime/s05349.TextGrid,0.03600000000000003,1.082,1.757,vinculación,False,False,i,n
s053,a,880.6342440924107,1880.325406395315,3079.6712145356855,770.635056720998,1863.4932370536685,3157.9741127841667,675.5729802020755,1943.0759739096661,3069.6062418687684,Female,DIMEx100,1.757,1.863,textgrids/dime/s05349.TextGrid,0.1060000000000001,1.757,2.405,académica,True,False,n,k
s053,a,732.7567070569611,1795.6561873622527,2991.5265179128,666.1076239980284,1700.472724332179,2945.2377648079073,664.9589963638902,1789.6586521128193,3007.4331120961874,Female,DIMEx100,1.967,2.026,textgrids/dime/s05349.TextGrid,0.05899999999999972,1.757,2.405,académica,False,False,k,d
s053,e,590.6943140065595,2241.533987981271,3161.644414563571,598.4266150634733,2153.2586662707354,3131.748601457973,498.3058604519888,2362.894957543099,3244.922592522448,Female,DIMEx100,2.076,2.163,textgrids/dime/s05349.TextGrid,0.08699999999999974,1.757,2.405,académica,False,False,d,m
s053,i,311.5627546906303,2925.122756371149,3171.4781365288777,293.20673350529546,2366.647679897363,3240.1073095823363,274.3682298538062,2957.0158866951706,3257.020496135587,Female,DIMEx100,2.225,2.268,textgrids/dime/s05349.TextGrid,0.042999999999999705,1.757,2.405,académica,False,False,m,k
s053,a,345.4764908317259,1528.8455607030658,2418.466328406916,326.9256616196581,1614.9618189696923,2565.2165169455725,352.2698890621937,1360.2578707303405,2617.3182843319946,Female,DIMEx100,2.348,2.405,textgrids/dime/s05349.TextGrid,0.05699999999999994,1.757,2.405,académica,False,True,k,k
s053,o,468.61558614499853,1284.6081295095,2862.5522063573358,371.9917845933648,1098.1965968814388,2495.648242283229,444.04982845524404,1514.963454477335,3092.512486657653,Female,DIMEx100,2.504,2.551,textgrids/dime/s05349.TextGrid,0.04700000000000015,2.405,2.606,con,False,False,k,n
s053,e,327.38365812442527,2033.7372229557227,3080.7952195534235,302.1819492369121,2049.2611162347503,3057.7254785497576,311.9997762958493,2283.5630935069607,2916.428292606109,Female,DIMEx100,2.606,2.673,textgrids/dime/s05349.TextGrid,0.06700000000000017,2.606,2.713,el,True,False,n,l
s053,e,451.8402851148012,2096.6759892341856,2774.651793392138,426.39748223321135,2165.1342101822393,2863.838933655624,382.9183231553187,2054.5477220180237,2645.1974311385356,Female,DIMEx100,2.799,2.864,textgrids/dime/s05349.TextGrid,0.06499999999999995,2.713,3.087,sector,False,False,s,k
s053,o,417.8969071620982,1211.9309101897268,2865.2029058877642,375.81841284998114,1205.359697170238,2912.7777204162044,413.35515132692245,1222.5623497808365,2846.199532240377,Female,DIMEx100,2.991,3.047,textgrids/dime/s05349.TextGrid,0.05600000000000005,2.713,3.087,sector,False,False,t,r(
s053,o,268.1824250823818,1287.2173093729705,3319.6566237795228,184.8415905631994,1426.9307933722687,3312.4035203022754,324.5409163961021,1209.3151243891089,3310.607999480497,Female,DIMEx100,3.173,3.233,textgrids/dime/s05349.TextGrid,0.06000000000000005,3.087,3.559,social,False,False,s,s
s053,i,316.54422976902083,2514.441619691709,3221.436898867871,675.967919835105,2504.070379606717,3113.5957426861937,408.9685459182803,2381.488601199169,3187.505178761802,Female,DIMEx100,3.343,3.398,textgrids/dime/s05349.TextGrid,0.05500000000000016,3.087,3.559,social,False,False,s,a
s053,a,643.9694485832969,2120.64278310409,3134.941988725528,552.9876563505834,2253.264520903993,3153.7393041413275,668.8178118250224,2002.8018406813044,3159.5281230044093,Female,DIMEx100,3.398,3.463,textgrids/dime/s05349.TextGrid,0.06499999999999995,3.087,3.559,social,False,False,i,l
s053,e,511.5828014421381,1927.3449703140384,2935.6927259113377,514.4867686276235,1810.0197894086925,2826.81959883699,476.30871926732976,2051.727584842625,2892.181764254539,Female,DIMEx100,0.153,0.217,textgrids/dime/s05350.TextGrid,0.064,0.051,0.614,presentar,False,False,r(,s
s053,e,651.8829566721132,2034.6276256355402,2992.641959853051,530.4093439728624,2061.021930052216,2985.3306683607275,572.9258828624879,1917.8588495302558,3018.215728259013,Female,DIMEx100,0.302,0.361,textgrids/dime/s05350.TextGrid,0.059,0.051,0.614,presentar,False,False,s,n
s053,a,758.6875259212974,1822.0235409365716,2974.3989324178588,699.3779736524721,1850.5718937868078,3022.8729356807066,819.3144759133766,1820.3090921301136,2990.72920183184,Female,DIMEx100,0.493,0.585,textgrids/dime/s05350.TextGrid,0.09199999999999997,0.051,0.614,presentar,False,False,t,r(
s053,a,679.6485306140006,1725.0991083292827,3189.968569984144,689.0941613099968,1699.8619026594379,3126.097372142826,664.2735390427355,1727.3718297322118,3227.220944518772,Female,DIMEx100,0.683,0.747,textgrids/dime/s05350.TextGrid,0.06399999999999995,0.614,0.747,la,False,True,l,r
s053,e,423.05049534866754,1129.8662633576598,2740.9618857562577,525.1453876255639,2179.3954680910188,3056.4676124507105,381.3203935446222,2503.4990757667492,2901.580769706959,Female,DIMEx100,0.813,0.868,textgrids/dime/s05350.TextGrid,0.05500000000000005,0.747,1.437,reclamación,False,False,r,k
s053,a,800.0983562067868,1850.1233862954443,3149.606089636467,763.1707839006174,1940.7816712466488,3095.121923645992,725.0738223446931,1667.4001411216123,3488.3317127867967,Female,DIMEx100,0.984,1.041,textgrids/dime/s05350.TextGrid,0.05699999999999994,0.747,1.437,reclamación,False,False,l,m
